"Date","Text","Link","Media URL","Title","Label","Alt text(s)","Comment(s)","Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..","CTA - For Facebook links or Google"
"2026/05/18 07:00","You've spent decades putting everyone else first. Your kids. Your career. Your partner.

Now it's YOUR turn.

Revitalize & Thrive Now is a 30-day system built for women 45-65 who are done feeling exhausted, invisible, and stuck.

This isn't a diet. It's a full-life reset.

Energy. Hormones. Mindset. Sleep. Strength.

All of it, finally working together.

👇 Tap the link in bio to grab the 30-Day Revitalize Workbook — your roadmap to the woman you know you still are.

💥 Limited time: $79 (regularly $129)

Link: rivitalize.gumroad.com/l/nlkuz

#RevitalizeAndThrive #WomenOver45 #MidlifeWellness #HormoneHealth #WomenEmpowerment #LifeAfter45 #MidlifeTransformation #HealthyAging #WomenWellness #ThrivingAt50 #SecondChapter #YouDeserveThis #MidlifeWoman #WellnessJourney #FeelAmazingAgain","","https://images.pexels.com/photos/3807517/pexels-photo-3807517.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Reel",""
"2026/05/19 08:00","If you wake up exhausted even after 8 hours of sleep — your hormones are trying to tell you something.

Cortisol. Estrogen. Thyroid. Progesterone.

When even ONE is off, everything falls apart:
✗ Brain fog that won't quit
✗ Weight that won't budge
✗ Energy that crashes by 2pm
✗ Sleep that never feels restorative

The good news? You can fix this.

The Midlife Sleep Fix walks you through exactly how to rebalance your sleep-hormone cycle — without prescriptions or guesswork.

💤 Sleep better. Wake up ready. Feel like yourself again.

👉 Get it now for just $37 → rivitalize.gumroad.com/l/midlife-sleep-fix

Link in bio.

#MidlifeSleep #HormoneImbalance #WomenOver50 #SleepFix #MenopauseSleep #MidlifeHealth #HormoneBalance #BetterSleep #WomenWellness #TiredNoMore #MidlifeWoman #SleepBetter #FeelRested #WellnessOver50 #RevitalizeAndThrive","","https://images.pexels.com/photos/3771069/pexels-photo-3771069.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Photo",""
"2026/05/20 09:00","Sign #1: You snap at people you love for no real reason.
Sign #2: You feel puffy, bloated, and uncomfortable in your own skin.
Sign #3: You lie awake at 3am with a racing mind.

Sound familiar? This is NOT just ""aging.""

These are signs your body is crying out for a reset — and the Hormone Meal Plan was built exactly for this.

🥗 28 days of hormone-supportive meals that reduce inflammation, balance cortisol, and help your body work WITH you instead of against you.

Over 1,200 women have used this to feel better in their first week.

👇 $47 at the link in bio → rivitalize.gumroad.com/l/hormone-meal-plan

#HormoneMealPlan #BalanceHormones #MenopauseNutrition #WomenOver45 #MidlifeNutrition #HormoneHealth #AntiInflammatory #WellnessMeals #MidlifeWoman #FoodAsMedicine #HormoneBalance #HealthyEating45 #MidlifeWellness #RevitalizeAndThrive #ThrivingInMidlife","","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Reel",""
"2026/05/21 07:00","She was 52, exhausted, and convinced she'd missed her window.

Three months later she ran a 5K, launched her side business, and told me: ""I feel more alive now than I did at 35.""

The difference? She stopped accepting the story that midlife means decline.

The Midlife Mindset Reset is a 21-day guided transformation that rewires the beliefs holding you back — so you can finally move forward with clarity and confidence.

This is the inner work that makes everything else actually stick.

🧠 21 days. Life-changing shifts. $37.

👉 Start your reset → rivitalize.gumroad.com/l/mindset-reset

Link in bio.

#MidlifeMindset #MindsetReset #WomenOver50 #MidlifeConfidence #GrowthMindset #WomenEmpowerment #MidlifeTransformation #BelieveInYourself #MindsetShift #ThrivingAt50 #WomenWhoThrive #MidlifeWoman #RevitalizeAndThrive #YouAreEnough #NeverTooLate","","https://images.pexels.com/photos/3807544/pexels-photo-3807544.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Photo",""
"2026/05/22 08:00","What if you had MORE energy on Friday than you did on Monday?

That's not a fantasy — that's what happens when you give your body what it actually needs.

Join the FREE 5-Day Energy Challenge and discover:
⚡ The morning routine that fuels your hormones (not crashes them)
⚡ The #1 food most women over 45 are missing
⚡ Evening habits that double your deep sleep
⚡ The 10-min movement that burns fat without wrecking your joints
⚡ A simple reset that clears brain fog by Day 3

No cost. No catch. Just results.

🎁 Grab your free spot → rivitalize.gumroad.com/l/energy-challenge

Link in bio.

#FreeChallenge #EnergyBoost #WomenOver45 #MidlifeEnergy #HormoneHealth #FiveDayChallenge #MidlifeWellness #FeelAmazingAgain #WomenWellness #FreeMidlifeReset #EnergyChallenge #RevitalizeAndThrive #HealthyWomen #WellnessChallenge #MidlifeWoman","","https://images.pexels.com/photos/3823495/pexels-photo-3823495.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Reel",""
"2026/05/23 09:00","You've been running on empty for years.

Pushing through the fatigue. Caffeinating through the fog. Pretending everything is fine.

But your adrenals are screaming.

Chronic stress + midlife hormone shifts = adrenal burnout. And it doesn't get better by itself.

The Adrenal Reset Protocol is a step-by-step 4-week guide to restoring your energy reserves, calming your nervous system, and finally feeling steady again.

No more hitting a wall at 3pm. No more running on adrenaline and cortisol.

Just calm, sustained energy — all day.

💛 Get the Adrenal Reset → $47 at rivitalize.gumroad.com/l/burnout-recovery

Link in bio.

#AdrenalFatigue #BurnoutRecovery #WomenOver45 #StressRelief #MidlifeHealth #HormoneBalance #NervousSystem #ChronicFatigue #MidlifeWellness #WomenHealth #AdrenalReset #EnergyRecovery #RevitalizeAndThrive #RestoreYourEnergy #WellnessJourney","","https://images.pexels.com/photos/3760275/pexels-photo-3760275.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Photo",""
"2026/05/24 10:00","Sunday is not just a rest day — it's your reset day.

This week, give yourself one thing:
Permission to feel good.

Not productive. Not perfect. Not ""fine.""

Actually GOOD.

That feeling is available to you. Right now. In this season of life.

The 30-Day Revitalize Workbook gives you a week-by-week, day-by-day plan to rebuild your energy, hormones, and joy — starting with today.

📖 Week 1 alone will change how you see yourself.

✨ Your Sunday reset starts here → rivitalize.gumroad.com/l/nlkuz ($79)

Link in bio.

#SundayReset #SelfCare #WomenOver50 #MidlifeWellness #SundayRoutine #TreatYourself #WellnessWomen #MidlifeJoy #HormoneHealth #RevitalizeAndThrive #FeelGoodAgain #WomensWellness #WeekendWellness #SelfLoveJourney #ThrivingAt50","","https://images.pexels.com/photos/3807533/pexels-photo-3807533.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Reel",""
"2026/05/25 07:00","Your gut and your hormones are in constant conversation.

When your gut is inflamed:
→ Estrogen can't clear properly
→ Cortisol stays elevated
→ Serotonin drops (yes, 90% is made in your gut)
→ Weight stalls no matter what you do

This is why fixing hormones starts in the gut — not with pills.

The Gut Health Reset is a 30-day protocol that heals the gut-hormone axis through food, lifestyle, and targeted support.

📉 Bloating gone. Brain fog clearing. Mood stabilizing. Weight moving.

All from fixing the root cause.

🌿 Get the Gut Health Reset for $37 → rivitalize.gumroad.com/l/gut-health-reset

Link in bio.

#GutHealth #GutHormoneConnection #WomenOver45 #HormoneBalance #GutReset #MidlifeHealth #LeakyGut #MicrobiomeHealth #WomenWellness #GutHealing #RevitalizeAndThrive #HormoneHealth #AntiInflammatory #MidlifeWoman #BloomFromWithin","","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Photo",""
"2026/05/26 08:00","""I thought lifting weights was for young women. I was wrong.""

At 55, Maria started the Strength & Longevity program.

Six months later:
✅ Lost 18 lbs
✅ Off her blood pressure medication
✅ Sleeping through the night for the first time in years
✅ Stronger than she was at 40

Muscle is not optional in midlife. It's medicine.

The Strength & Longevity Guide is a 12-week progressive program designed specifically for women 45+ — no gym required.

💪 Build the body that carries you through the next 30 years.

🔥 Get it for $57 → rivitalize.gumroad.com/l/strength-longevity

Link in bio.

#StrengthTraining #WomenOver50 #LiftWeights #MidlifeStrength #StrengthAndLongevity #FitnessOver45 #WomenWhoLift #MidlifeFitness #BuildMuscle #HealthyAging #FitAt50 #WomenHealth #RevitalizeAndThrive #StrongWomen #FitnessJourney","","https://images.pexels.com/photos/3823488/pexels-photo-3823488.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Reel",""
"2026/05/27 09:00","Hot flashes at 3am. Mood swings you can't explain. A body that suddenly feels foreign.

Perimenopause can feel like your body has turned against you.

But here's what nobody tells you: this transition is actually your body recalibrating — and you have far more control over how it feels than you think.

The Complete Perimenopause Guide covers:
📋 What's happening hormonally and why
🥗 Nutrition strategies that reduce symptoms by up to 70%
💊 Natural supplements that actually work
🧘 Stress protocols that stabilize your nervous system
😴 Sleep restoration without hormones

This is the guide you deserved from your doctor but never got.

📘 Get it for $47 → rivitalize.gumroad.com/l/perimenopause-guide

Link in bio.

#Perimenopause #MenopauseSupport #WomenOver45 #HormoneHealth #PerimenopauseHelp #MidlifeHealth #NaturalMenopause #HotFlashes #WomenWellness #MidlifeWoman #MenopauseJourney #RevitalizeAndThrive #HormoneBalance #WomensHealth #FeelLikeYourself","","https://images.pexels.com/photos/3807568/pexels-photo-3807568.jpeg?auto=compress&cs=tinysrgb&w=1080&h=1080&dpr=1","","","","","","Photo",""
